[
{24232,16,12218,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{25429,19,12897,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{17575,18,12203,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{18454,4,20586,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{13580,12,17634,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{11041,0,22347,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{11677,0,21694,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{11518,16,28957,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{12828,17,26471,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{13259,16,31890,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{18212,0,24807,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{22301,0,25164,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{28869,17,17780,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{46034,16,26624,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{27207,82,24304,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{26766,0,29140,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{34138,0,21971,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{21690,0,11820,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{40692,0,32253,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{31563,0,27115,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{24626,0,20923,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{41634,0,15025,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{11018,16,29785,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{14023,17,26716,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{14589,16,32343,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{19022,0,25489,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{21789,22,27338,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{22867,22,27624,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{30071,17,18415,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{28390,0,30169,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{22215,0,32182,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{24937,45,33794,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{26510,0,20145,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{24614,0,19717,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{29040,0,15530,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{29969,0,29329,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{30619,0,12100,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{33610,0,13839,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{32300,0,15420,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{32128,0,12230,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{30840,0,15509,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{34480,0,15139,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{34380,0,12230,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{29719,0,12080,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
{28979,0,12160,[10001,10002,10003,20001,20002,20003,20004,20005,20006,30001,30002,30003,40001,40002,40003]},
